,mAP@0.5 (Val),Precision (Val),Recall (Val),mAP@0.5 (Test)
yolov8n.pt,0.11564505454934768,0.6118472520601508,0.17727272727272728,0.13686714733240968
yolov8s.pt,0.16126807382263325,0.6923276936161034,0.21764331056540576,0.22541832694411426
yolov8m.pt,0.256114453154077,0.45835188717919506,0.3143939393939394,0.21202574010674882
